site,mineral,psi,mean,std
Manu,calcite,0.0443089430894309,0.0024777248992669336,0.14825588350278676
Manu,dolomite,0.0008130081300813008,2.9921584849358046e-06,0.00731707317073171
Manu,gypsum,0.1869918699186992,0.013414583078516873,0.31411061252156286
Manu,albite,0.0036585365853658534,5.845237375958249e-05,0.029451212498666588
Manu,halite,0.3857723577235772,0.11921707446370154,0.46602832322026594
Manu,fluorite,0.11544715447154472,0.001510801683399982,0.22331544170241135
Manu,NO3src,0.49227642276422773,0.14224874437475554,0.4691946274065842
Manu,denit,0.38780487804878044,0.11414112704527013,0.42622411611472255
Manu,sulfate_reduction,0.13089430894308945,0.0029269326960533228,0.2788760099718181
Manu,iron_reduction,0.10528455284552846,0.00011740472907345549,0.24101577680005612
Manu,CaNa_exch,0.7016260162601626,0.1339681388541839,0.3756440698084196
Manu,NaCa_exch,0.48252032520325205,0.12574870434219404,0.45356837551476503
Manu,MgNa_exch,0.7991869918699187,0.21227508247475668,0.3196786839453014
Manu,NaMg_exch,0.2073170731707317,0.013509610370938084,0.32422617445501184
Talensi,calcite,0.06931216931216932,0.011427048000187108,0.22311737069110602
Talensi,dolomite,0.025661375661375663,0.000453976366246135,0.1289054928011139
Talensi,pyrite_oxidation_aerobic,0.5161375661375661,0.01392841229295454,0.4624094196438709
Talensi,albite,0.04656084656084657,0.004134507518934614,0.16151178229932808
Talensi,halite,0.3820105820105821,0.11012047354180925,0.44623944651610326
Talensi,NO3src,0.4986772486772487,0.2814173985563942,0.4718981295631497
Talensi,denit,0.3828042328042328,0.22827567967185647,0.44288882770219407
Talensi,sulfate_reduction,0.11031746031746031,0.009334012952773372,0.2942860995528377
Talensi,iron_reduction,0.0050264550264550265,1.0419581963426264e-06,0.028503986638296692
Talensi,CaNa_exch,0.7476190476190476,0.11035045118694944,0.38694362849145547
Talensi,NaCa_exch,0.5203703703703704,0.0698386108752875,0.45021986050208346
Talensi,MgNa_exch,0.6460317460317461,0.10283862973727176,0.4479791414357387
Talensi,NaMg_exch,0.39761904761904765,0.05631472895734125,0.46314199108401494
