seed,mae_years,bias_years,interval95_coverage,r_hat_max,ess_bulk_min,ess_tail_min,divergences,n_identifiable_nodes,converged,sampler
4101,2.4070591771475023,-0.9811995540297739,0.9166666666666666,1.003342851411283,1749.004061044284,1760.6441265979975,0,12,True,exact_grid
4102,2.7360773813598,-0.38092309170374034,0.9166666666666666,1.0014566195195984,1806.7621070727123,1790.4179549290502,0,12,True,exact_grid
4103,3.264806396696041,-2.3243142594612696,0.75,1.0020207163721404,1765.035219418505,1639.5310728454792,0,12,True,exact_grid
4104,2.689369479202315,-1.8173544837653992,0.9166666666666666,1.0029258253541806,1797.6864223181085,1725.7955101589312,0,12,True,exact_grid
4105,2.7585725947553037,-0.8080765493098317,0.9166666666666666,1.003772280955943,1768.2514466165194,1761.3912058637272,0,12,True,exact_grid
4106,2.962199760972793,-0.7300780681396858,0.9166666666666666,1.0043954424522885,1816.2199912812262,1753.5434086771638,0,12,True,exact_grid
4107,2.338196215491673,-1.577608446697467,1.0,1.0036894982952578,1841.7416389336413,1710.7211768304674,0,12,True,exact_grid
4108,2.206742265393282,-0.9315425509425613,1.0,1.0039688453086133,1859.7110694839057,1797.57681873303,0,12,True,exact_grid
4109,3.0221028881117404,-1.248269460664784,1.0,1.0029255994017205,1865.9006571163611,1870.7674621567344,0,12,True,exact_grid
4110,2.3815046741315875,-0.493881817355405,0.8333333333333334,1.0024052773611738,1722.0915694113235,1789.7176769233786,0,12,True,exact_grid
4111,2.6921077565309166,-0.7558161041238862,0.9166666666666666,1.0036286931675455,1857.135118781045,1831.3984469193338,0,12,True,exact_grid
4112,3.661554616201801,0.26686666417122984,0.9166666666666666,1.0015359880374866,1824.5862430491952,1749.9634475865005,0,12,True,exact_grid
