particle,milestone,node_id,modpath_node_zero_based,row_zero_based,column_zero_based,x_m,y_m,travel_time_days,age_years
0,0,MF2103_P0_M0,21,1,1,225.0,1275.0,0.0,1.5
0,1,MF2103_P0_M1,25,1,6,900.0,1297.1126708984375,5865.83056640625,17.55976883341889
0,2,MF2103_P0_M2,30,1,11,1650.0,1327.86572265625,11659.9130859375,33.42310222022587
0,3,MF2103_P0_M3,35,1,16,2400.0,1316.9456787109375,17820.8984375,50.29096081451061
1,0,MF2103_P1_M0,101,5,1,225.0,675.0,0.0,1.5
1,1,MF2103_P1_M1,125,6,6,900.0,597.4497680664062,6313.55908203125,18.785582702344286
1,2,MF2103_P1_M2,130,6,11,1650.0,566.0153198242188,12081.138671875,34.57635502224504
1,3,MF2103_P1_M3,115,5,16,2400.0,632.7025756835938,17827.39453125,50.30874614989733
2,0,MF2103_P2_M0,161,8,1,225.0,225.0,0.0,1.5
2,1,MF2103_P2_M1,165,8,6,900.0,212.686767578125,5627.255859375,16.90658688398357
2,2,MF2103_P2_M2,170,8,11,1650.0,213.5293731689453,11246.6572265625,32.291669340349074
2,3,MF2103_P2_M3,175,8,16,2400.0,243.99249267578125,17430.31640625,49.22160549281314
