site_id,sample_id,x_m,y_m,lat,lon,head_meas,hydraulic_head,elevation,screen_depth,well_depth,aquifer_unit,aquifer_layer,pH,temp_c,sample_date,tritium_TU,argon39_pmc,Ca,Mg,Na,K,HCO3,Cl,SO4,NO3,F,Fe,PO4,SiO2
MF2102_P0_M0,MF2102_P0_M0,225.0,1275.0,7.011486486486486,-1.497972972972973,100.75509402304867,100.65658908801598,112.66169859293782,18.0,40.0,external_modflow_synthetic,1,6.880013499288555,24.95496285008756,2025.5,5.665470740693843,97.91047894744929,0.6130610462033808,0.26395531490688195,0.5392278417675586,0.05229680975244593,1.7205756716457883,0.2395269569752707,0.4425992512182607,0.28441806143907417,0.0070666811787446155,0.0030608435900731984,0.004367221419334924,0.5935452575270358
MF2102_P0_M1,MF2102_P0_M1,900.0,1285.9237060546875,7.011584898252745,-1.491891891891892,97.56776755289002,97.74281544675958,109.68092127295951,18.0,40.0,external_modflow_synthetic,1,7.125903138674761,24.920097494589285,2025.5,2.644079781596863,95.91834431997978,0.8448398902162076,0.3150529753317911,0.5169238518156692,0.05207348660024875,2.1862360748814362,0.23421427767018613,0.44682365192840734,0.28347200056236005,0.006970074684516337,0.0031103558080349055,0.004477279602918634,0.6061714807937542
MF2102_P0_M2,MF2102_P0_M2,1650.0,1315.93310546875,7.011855253202421,-1.4851351351351352,94.806096117423,94.82583243251958,106.74026250066606,18.0,40.0,external_modflow_synthetic,1,7.949074947874221,25.014741864536497,2025.5,1.7366005749590652,91.03011216252675,0.5751477500277098,0.3145590570817971,0.5019540103657111,0.05093270085653417,1.6971382128478611,0.2451468307061402,0.42065232121901397,0.27601855120346236,0.006728902736737758,0.0029631069602873233,0.004273562650195503,0.5928841623549403
MF2102_P0_M3,MF2102_P0_M3,2400.0,1272.3568115234375,7.011462673977689,-1.4783783783783784,91.80227261405464,91.58967795254404,103.78604413635709,18.0,40.0,external_modflow_synthetic,1,7.641724960463025,24.588877115989657,2025.5,0.541271063640083,85.92850992908292,0.5899170250598149,0.32152498252666956,0.6386221293864361,0.08447889415998193,1.9099098297040047,0.2538696547031723,0.40518393054229496,0.30270266416226915,0.006860925857883364,0.0031186215352449567,0.004429471640930013,0.9307967532202325
MF2102_P1_M0,MF2102_P1_M0,225.0,675.0,7.006081081081081,-1.497972972972973,100.69079410488904,100.71205472957345,112.69185051377168,18.0,40.0,external_modflow_synthetic,1,6.905694952677092,25.055265673495246,2025.5,5.592205056071873,101.21773611022384,0.6309487003699199,0.27799549207042124,0.4654631183290219,0.054938411792025715,1.5657573284299613,0.23007503244866886,0.43636000101132294,0.28218734244684474,0.006631504910615566,0.0031584140566791727,0.004256127155247975,0.5517039691255973
MF2102_P1_M1,MF2102_P1_M1,900.0,635.5521240234375,7.005725694811022,-1.491891891891892,98.03452220183179,97.98304971309891,110.05802077701425,18.0,40.0,external_modflow_synthetic,1,7.152392108135713,25.000060151168437,2025.5,2.4723618635656797,93.96378168157625,0.6565628763843623,0.2705969687882076,0.44945729898846587,0.05739593749401103,1.7774321006234184,0.22468094844955994,0.4555494550216682,0.07634096427726368,0.006693985173850057,0.0032064646515164354,0.004096172173585122,0.5665088837985823
MF2102_P1_M2,MF2102_P1_M2,1650.0,665.147216796875,7.00599231726844,-1.4851351351351352,94.52483046887828,94.44706127445961,106.50841321016833,18.0,40.0,external_modflow_synthetic,1,8.223034000960629,24.788323274820776,2025.5,0.171435130075548,77.88989797543694,0.7478854798451958,0.25777233591066595,0.4761299292210137,0.059442024835242024,2.680528181823021,0.21161876026798532,0.1251381546589347,0.00010678635166174381,0.0065700214936744595,0.010138552229817525,0.004078386535264578,0.5423899889941188
MF2102_P1_M3,MF2102_P1_M3,2400.0,623.2615966796875,7.005614969339456,-1.4783783783783784,91.66469122323207,91.8119652484449,103.67010018962421,18.0,40.0,external_modflow_synthetic,1,8.8,25.303597088280988,2025.5,0.0878072634334581,71.445534960717,0.7816593965337253,0.27633302168508567,0.48630479726856346,0.05175593267409443,2.841729896799184,0.21479123797004768,0.12744932879460164,0.00011767338225218468,0.00640148465203917,0.07298072525674988,0.003441694730587664,0.5442052179887248
MF2102_P2_M0,MF2102_P2_M0,225.0,225.0,7.002027027027027,-1.497972972972973,100.61527934752117,100.47753438380539,112.54201718782942,18.0,40.0,external_modflow_synthetic,1,6.898197362902018,25.012438265273868,2025.5,5.661549376124635,100.92629892843132,0.6200746034264193,0.286267111974049,0.4622594187659934,0.06001001341867081,1.6326323498206556,0.2260957669589632,0.39569935574278786,0.2982097386431737,0.006717731504106284,0.0032090960590151108,0.0038709855029701225,0.537594861035439
MF2102_P2_M1,MF2102_P2_M1,900.0,180.0110626220703,7.0016217212848835,-1.491891891891892,97.80116496090233,97.48688709346173,109.72854297742312,18.0,40.0,external_modflow_synthetic,1,7.255593223075531,25.137579606933883,2025.5,2.1574513261960506,93.86413533700012,0.6480412115412761,0.3020855825266282,0.5998146463007763,0.09615719429569042,1.7761444301802947,0.23682564583386545,0.3903497568578009,0.3273408577014158,0.006892552903835231,0.0030067640580885876,0.003544498419304889,0.8556192266465554
