edge_id,u,v,transport_model,gamma,f,endmember_id,transport_residual_norm,anomaly_norm,objective_score,chemistry_r2,l1_norm,ec_tds_penalty,reaction_iterations,reaction_converged,constraints_active,si_u,si_v,phreeqc_ok,charge_error,skipped_reason,edge_confidence,edge_map_penalty,edge_map_score,edge_sheaf_score_local,edge_sheaf_score_global,edge_sheaf_residual,edge_sheaf_pi_evap,edge_sheaf_cost_iso,edge_sheaf_cost_cl,edge_sheaf_flags,edge_distance_km,edge_delta_h,edge_sigma_delta_h,edge_source_tier,edge_flags,edge_distance_3d_m,edge_horizontal_distance_m,edge_vertical_distance_m,edge_type_3d,edge_prob_head,edge_prob_distance,edge_prob_layer,edge_horizontal_gradient,edge_vertical_gradient,edge_residence_time_days,physics_source,physics_tau_mean_days,physics_tau_std_days,physics_tau_p10_days,physics_tau_p90_days,isotope_penalty,isotope_metrics,isotope_used,gibbs_penalty,gibbs_metrics,gibbs_used,isotope_consistency_penalty,qc_flags,nitrate_source_p_manure,nitrate_source_logit,nitrate_source_evidence,nitrate_source_gates,uncertainty_method,gamma_std,gamma_ci_low,gamma_ci_high,f_std,f_ci_low,f_ci_high,extents_std,extents_ci_low,extents_ci_high,uncertainty_r_hat,uncertainty_ess,temporal_residence_time_days,temporal_residence_time_method,temporal_residence_time_uncertainty,temporal_transport_model,temporal_gamma_mean,temporal_gamma_std,temporal_f_mean,temporal_f_std,temporal_reaction_extents_mean,temporal_reaction_extents_std,temporal_total_residual_norm,temporal_n_time_points,temporal_residence_time_flags,temporal_residence_time_details,rt_validated,rt_simulator,rt_residence_time_days,rt_rmse,rt_nse,rt_pbias,rt_thermodynamic_consistent,transport_prob_evap,reaction_calcite,reaction_dolomite,reaction_gypsum,reaction_halite,reaction_pyrite_oxidation_aerobic,reaction_NO3src,reaction_denit,reaction_CaNa_exch,reaction_MgNa_exch
L1->BH2,L1,BH2,evap,1.5874071933714207,,,0.10323934643281991,0.06097976460019677,0.21097976460019677,0.9955685761198386,0.305845238382619,0.0,18,True,{},{},{},False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,{},False,0.15,"{""tds"": 353.3, ""ratio_na_naca"": 0.4502786833881685, ""ratio_cl_clhco3"": 0.16997737635770313, ""gibbs_dominance"": ""rock"", ""gibbs_evap_weight"": 0.6, ""gibbs_mix_weight"": 0.4, ""gibbs_evap_penalty"": 0.3}",True,0.0,,,,,,,,,,,,,[],[],[],{},{},,,,,,,,,[],[],,,,{},False,,,,,,,1.0,0.0,0.0,0.08286448233704846,0.09830673513128807,0.0,0.06210159474960971,0.0,0.06257242616467279,0.0
L2->BH3,L2,BH3,evap,1.9652356026233222,,,0.09371749996355723,0.030571517623580638,0.18057151762358065,0.9981561833285151,0.33364584576334455,0.0,22,True,{},{},{},False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,{},False,0.15,"{""tds"": 339.3, ""ratio_na_naca"": 0.4531447049594095, ""ratio_cl_clhco3"": 0.19318643749888836, ""gibbs_dominance"": ""rock"", ""gibbs_evap_weight"": 0.6, ""gibbs_mix_weight"": 0.4, ""gibbs_evap_penalty"": 0.3}",True,0.0,,,,,,,,,,,,,[],[],[],{},{},,,,,,,,,[],[],,,,{},False,,,,,,,1.0,0.0,0.0,0.0,0.09718090371510235,0.0,0.0,0.141640425332937,0.06371886871565725,0.031105647999647965
BH1->BH2,BH1,BH2,evap,1.0954469434726009,,,0.10644235115341251,0.09299518236309588,0.24299518236309586,0.9932420029075931,0.11227090034255828,0.0,6,True,{},{},{},False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,{},False,0.15,"{""tds"": 353.3, ""ratio_na_naca"": 0.4502786833881685, ""ratio_cl_clhco3"": 0.16997737635770313, ""gibbs_dominance"": ""rock"", ""gibbs_evap_weight"": 0.6, ""gibbs_mix_weight"": 0.4, ""gibbs_evap_penalty"": 0.3}",True,0.0,,,,,,,,,,,,,[],[],[],{},{},,,,,,,,,[],[],,,,{},False,,,,,,,1.0,0.03874005943549328,0.0,0.029297301664205393,0.0,0.0,0.04423353924285961,0.0,0.0,0.0
BH2->BH3,BH2,BH3,evap,1.1180357544604551,,,0.06239824727561817,0.007872846403478805,0.1578728464034788,0.9995251761580989,0.3956458445675685,0.0,14,True,{},{},{},False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,{},False,0.15,"{""tds"": 339.3, ""ratio_na_naca"": 0.4531447049594095, ""ratio_cl_clhco3"": 0.19318643749888836, ""gibbs_dominance"": ""rock"", ""gibbs_evap_weight"": 0.6, ""gibbs_mix_weight"": 0.4, ""gibbs_evap_penalty"": 0.3}",True,0.0,,,,,,,,,,,,,[],[],[],{},{},,,,,,,,,[],[],,,,{},False,,,,,,,1.0,0.0,0.0,0.0,0.1690666443573829,0.030333194954124124,0.08967723159019067,0.0,0.0,0.10656877366587082
BH3->BH4,BH3,BH4,evap,1.013952131995821,,,0.12325550732066361,0.039014516588355815,0.1890145165883558,0.997578575407587,0.3795555459615996,0.0,26,True,{},{},{},False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,{},False,0.15,"{""tds"": 439.5, ""ratio_na_naca"": 0.44309053029870393, ""ratio_cl_clhco3"": 0.2191272629117833, ""gibbs_dominance"": ""rock"", ""gibbs_evap_weight"": 0.6, ""gibbs_mix_weight"": 0.4, ""gibbs_evap_penalty"": 0.3}",True,0.0,,,,,,,,,,,,,[],[],[],{},{},,,,,,,,,[],[],,,,{},False,,,,,,,1.0,0.0,0.0,0.1281001858597626,0.17613711779771815,0.0,0.03633672969041858,0.0,0.03254634524684572,0.006435167366854591
L1->BH2,L1,BH2,evap,1.2816766021964,,,1.3962258243061942,0.3611108159889774,0.5111108159889773,0.9675910168060224,1.118637442779507,0.0,14,True,{},{},{},False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,{},False,0.15,"{""tds"": 319.5, ""ratio_na_naca"": 0.5042163087026488, ""ratio_cl_clhco3"": 0.21192333147140274, ""gibbs_dominance"": ""rock"", ""gibbs_evap_weight"": 0.6, ""gibbs_mix_weight"": 0.4, ""gibbs_evap_penalty"": 0.3}",True,0.0,charge_balance,,,,,,,,,,,,[],[],[],{},{},,,,,,,,,[],[],,,,{},False,,,,,,,1.0,0.0,0.0,0.11915180486459469,0.37308575223287954,0.007936169916389667,0.0,0.6079940362044819,0.0,0.010469679561161127
L2->BH3,L2,BH3,evap,1.5866475552991477,,,2.5603327706805055,0.38547911057305234,0.5354791105730523,0.9793482652031682,1.3832594981604258,0.0,18,True,{},{},{},False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,{},False,0.15,"{""tds"": 358.9, ""ratio_na_naca"": 0.4339971151158306, ""ratio_cl_clhco3"": 0.1907524399485319, ""gibbs_dominance"": ""rock"", ""gibbs_evap_weight"": 0.6, ""gibbs_mix_weight"": 0.4, ""gibbs_evap_penalty"": 0.3}",True,0.0,charge_balance,,,,,,,,,,,,[],[],[],{},{},,,,,,,,,[],[],,,,{},False,,,,,,,1.0,0.0,0.0,0.1144369824963229,0.17526308359087986,0.0,0.0,1.027549943413459,0.0,0.066009488659764
BH1->BH2,BH1,BH2,evap,1.0720101385235887,,,0.07501160770536111,0.032355862958868935,0.18235586295886894,0.9970961251437769,0.17099725980802638,0.0,5,True,{},{},{},False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,{},False,0.15,"{""tds"": 319.5, ""ratio_na_naca"": 0.5042163087026488, ""ratio_cl_clhco3"": 0.21192333147140274, ""gibbs_dominance"": ""rock"", ""gibbs_evap_weight"": 0.6, ""gibbs_mix_weight"": 0.4, ""gibbs_evap_penalty"": 0.3}",True,0.0,charge_balance,,,,,,,,,,,,[],[],[],{},{},,,,,,,,,[],[],,,,{},False,,,,,,,1.0,0.0,0.0,0.0,0.13338002987036357,0.0376172299376628,0.0,0.0,0.0,0.0
BH2->BH3,BH2,BH3,evap,1.2612228775602674,,,0.1522841843803368,0.03794594554669714,0.18794594554669714,0.9979670763407116,0.4517293238838729,0.0,22,True,{},{},{},False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,{},False,0.15,"{""tds"": 358.9, ""ratio_na_naca"": 0.4339971151158306, ""ratio_cl_clhco3"": 0.1907524399485319, ""gibbs_dominance"": ""rock"", ""gibbs_evap_weight"": 0.6, ""gibbs_mix_weight"": 0.4, ""gibbs_evap_penalty"": 0.3}",True,0.0,charge_balance,,,,,,,,,,,,[],[],[],{},{},,,,,,,,,[],[],,,,{},False,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.18233899345930896,0.13200034973404154,0.1373899806905224,0.0
BH3->BH4,BH3,BH4,evap,1.061604010916583,,,0.21517052292103014,0.07239693940102153,0.2223969394010215,0.9964006592796167,0.32817535698040623,0.0,2,True,{},{},{},False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,{},False,0.15,"{""tds"": 378.6, ""ratio_na_naca"": 0.5203976346036666, ""ratio_cl_clhco3"": 0.21218432552676691, ""gibbs_dominance"": ""rock"", ""gibbs_evap_weight"": 0.6, ""gibbs_mix_weight"": 0.4, ""gibbs_evap_penalty"": 0.3}",True,0.0,charge_balance,,,,,,,,,,,,[],[],[],{},{},,,,,,,,,[],[],,,,{},False,,,,,,,1.0,0.0,0.0,0.0,0.2637643297213475,0.005365146953950963,0.05904588030510778,0.0,0.0,0.0
